mag_id,sample_id,sample_alias,day,phase,cohort,household,subject_contact
spire_mag_01923446,SAMEA3360666,LD-Run1-10,1,acute,1,J,0
spire_mag_01923447,SAMEA3360666,LD-Run1-10,1,acute,1,J,0
spire_mag_01923448,SAMEA3360666,LD-Run1-10,1,acute,1,J,0
spire_mag_01923449,SAMEA3360666,LD-Run1-10,1,acute,1,J,0
spire_mag_01923450,SAMEA3360666,LD-Run1-10,1,acute,1,J,0
spire_mag_01923451,SAMEA3360666,LD-Run1-10,1,acute,1,J,0
spire_mag_01923452,SAMEA3360684,LD-Run2-16,26,late_recovery,1,B,0
spire_mag_01923453,SAMEA3360684,LD-Run2-16,26,late_recovery,1,B,0
spire_mag_01923454,SAMEA3360684,LD-Run2-16,26,late_recovery,1,B,0
spire_mag_01923455,SAMEA3360684,LD-Run2-16,26,late_recovery,1,B,0
spire_mag_01923456,SAMEA3360684,LD-Run2-16,26,late_recovery,1,B,0
spire_mag_01923457,SAMEA3360684,LD-Run2-16,26,late_recovery,1,B,0
spire_mag_01923458,SAMEA3360684,LD-Run2-16,26,late_recovery,1,B,0
spire_mag_01923459,SAMEA3360684,LD-Run2-16,26,late_recovery,1,B,0
spire_mag_01923460,SAMEA3360684,LD-Run2-16,26,late_recovery,1,B,0
spire_mag_01923461,SAMEA3360684,LD-Run2-16,26,late_recovery,1,B,0
spire_mag_01923462,SAMEA3360684,LD-Run2-16,26,late_recovery,1,B,0
spire_mag_01923463,SAMEA3360684,LD-Run2-16,26,late_recovery,1,B,0
spire_mag_01923464,SAMEA3360675,LD-Run2-07,0,acute,2,N/A,7
spire_mag_01923465,SAMEA3360675,LD-Run2-07,0,acute,2,N/A,7
spire_mag_01923466,SAMEA3360675,LD-Run2-07,0,acute,2,N/A,7
spire_mag_01923467,SAMEA3360675,LD-Run2-07,0,acute,2,N/A,7
spire_mag_01923468,SAMEA3360675,LD-Run2-07,0,acute,2,N/A,7
spire_mag_01923469,SAMEA3360693,LD-Run2-25,1,acute,1,F,0
spire_mag_01923470,SAMEA3360693,LD-Run2-25,1,acute,1,F,0
spire_mag_01923471,SAMEA3360693,LD-Run2-25,1,acute,1,F,0
spire_mag_01923472,SAMEA3360693,LD-Run2-25,1,acute,1,F,0
spire_mag_01923473,SAMEA3360693,LD-Run2-25,1,acute,1,F,0
spire_mag_01923474,SAMEA3360657,LD-Run1-01,1,acute,1,C,0
spire_mag_01923475,SAMEA3360657,LD-Run1-01,1,acute,1,C,0
spire_mag_01923476,SAMEA3360657,LD-Run1-01,1,acute,1,C,0
spire_mag_01923477,SAMEA3360657,LD-Run1-01,1,acute,1,C,0
spire_mag_01923478,SAMEA3360657,LD-Run1-01,1,acute,1,C,0
spire_mag_01923479,SAMEA3360703,LD-Run2-35,27,late_recovery,1,I,0
spire_mag_01923480,SAMEA3360703,LD-Run2-35,27,late_recovery,1,I,0
spire_mag_01923481,SAMEA3360688,LD-Run2-20,9,early_recovery,1,D,2
spire_mag_01923482,SAMEA3360688,LD-Run2-20,9,early_recovery,1,D,2
spire_mag_01923483,SAMEA3360688,LD-Run2-20,9,early_recovery,1,D,2
spire_mag_01923484,SAMEA3360688,LD-Run2-20,9,early_recovery,1,D,2
spire_mag_01923485,SAMEA3360688,LD-Run2-20,9,early_recovery,1,D,2
spire_mag_01923486,SAMEA3360688,LD-Run2-20,9,early_recovery,1,D,2
spire_mag_01923487,SAMEA3360688,LD-Run2-20,9,early_recovery,1,D,2
spire_mag_01923488,SAMEA3360688,LD-Run2-20,9,early_recovery,1,D,2
spire_mag_01923489,SAMEA3360688,LD-Run2-20,9,early_recovery,1,D,2
spire_mag_01923490,SAMEA3360688,LD-Run2-20,9,early_recovery,1,D,2
spire_mag_01923491,SAMEA3360688,LD-Run2-20,9,early_recovery,1,D,2
spire_mag_01923492,SAMEA3360688,LD-Run2-20,9,early_recovery,1,D,2
spire_mag_01923493,SAMEA3360688,LD-Run2-20,9,early_recovery,1,D,2
spire_mag_01923494,SAMEA3360679,LD-Run2-11,1,acute,1,A,1
spire_mag_01923495,SAMEA3360679,LD-Run2-11,1,acute,1,A,1
spire_mag_01923496,SAMEA3360679,LD-Run2-11,1,acute,1,A,1
spire_mag_01923497,SAMEA3360679,LD-Run2-11,1,acute,1,A,1
spire_mag_01923498,SAMEA3360679,LD-Run2-11,1,acute,1,A,1
spire_mag_01923499,SAMEA3360679,LD-Run2-11,1,acute,1,A,1
spire_mag_01923500,SAMEA3360679,LD-Run2-11,1,acute,1,A,1
spire_mag_01923501,SAMEA3360679,LD-Run2-11,1,acute,1,A,1
spire_mag_01923502,SAMEA3360679,LD-Run2-11,1,acute,1,A,1
spire_mag_01923503,SAMEA3360679,LD-Run2-11,1,acute,1,A,1
spire_mag_01923504,SAMEA3360697,LD-Run2-29,1,acute,1,G,2
spire_mag_01923505,SAMEA3360697,LD-Run2-29,1,acute,1,G,2
spire_mag_01923506,SAMEA3360697,LD-Run2-29,1,acute,1,G,2
spire_mag_01923507,SAMEA3360697,LD-Run2-29,1,acute,1,G,2
spire_mag_01923508,SAMEA3360697,LD-Run2-29,1,acute,1,G,2
spire_mag_01923509,SAMEA3360662,LD-Run1-06,28,late_recovery,1,D,0
spire_mag_01923510,SAMEA3360662,LD-Run1-06,28,late_recovery,1,D,0
spire_mag_01923511,SAMEA3360662,LD-Run1-06,28,late_recovery,1,D,0
spire_mag_01923512,SAMEA3360662,LD-Run1-06,28,late_recovery,1,D,0
spire_mag_01923513,SAMEA3360662,LD-Run1-06,28,late_recovery,1,D,0
spire_mag_01923514,SAMEA3360662,LD-Run1-06,28,late_recovery,1,D,0
spire_mag_01923515,SAMEA3360662,LD-Run1-06,28,late_recovery,1,D,0
spire_mag_01923516,SAMEA3360662,LD-Run1-06,28,late_recovery,1,D,0
spire_mag_01923517,SAMEA3360662,LD-Run1-06,28,late_recovery,1,D,0
spire_mag_01923518,SAMEA3360662,LD-Run1-06,28,late_recovery,1,D,0
spire_mag_01923519,SAMEA3360662,LD-Run1-06,28,late_recovery,1,D,0
spire_mag_01923520,SAMEA3360662,LD-Run1-06,28,late_recovery,1,D,0
spire_mag_01923521,SAMEA3360662,LD-Run1-06,28,late_recovery,1,D,0
spire_mag_01923522,SAMEA3360662,LD-Run1-06,28,late_recovery,1,D,0
